Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C5,1uF,C_0402_1005Metric,233.757053,-78.157053,135,bottom
C6,1uF,C_0402_1005Metric,243.642947,-78.442947,135,bottom
C7,1uF,C_0402_1005Metric,248.25,-86.6,225,bottom
C8,1uF,C_0402_1005Metric,237.45,-89.065,270,bottom
C9,1uF,C_0402_1005Metric,244.407053,-90.242947,45,bottom
C11,1uF,C_0402_1005Metric,239.257053,-88.642947,225,bottom
D1,D_Small,D_SOD-123,163.5125,-8.79375,270,bottom
D2,D_Small,D_SOD-123,182.5625,-8.79375,270,bottom
D3,D_Small,D_SOD-123,201.6125,-8.79375,270,bottom
D4,D_Small,D_SOD-123,220.6625,-8.79375,270,bottom
D5,D_Small,D_SOD-123,239.7125,-8.79375,270,bottom
D6,D_Small,D_SOD-123,258.7625,-8.79375,270,bottom
D7,D_Small,D_SOD-123,277.8125,-8.79375,270,bottom
D8,D_Small,D_SOD-123,296.8625,-8.79375,270,bottom
D9,D_Small,D_SOD-123,315.9125,-8.79375,270,bottom
D10,D_Small,D_SOD-123,334.9625,-8.79375,270,bottom
D11,D_Small,D_SOD-123,354.0125,-8.79375,270,bottom
D12,D_Small,D_SOD-123,373.0625,-8.79375,270,bottom
D13,D_Small,D_SOD-123,392.1125,-8.79375,270,bottom
D14,D_Small,D_SOD-123,409.575,-8.79375,270,bottom
D15,D_Small,D_SOD-123,430.2125,-8.79375,270,bottom
D16,D_Small,D_SOD-123,173.0375,-27.84375,270,bottom
D17,D_Small,D_SOD-123,192.0875,-27.84375,270,bottom
D18,D_Small,D_SOD-123,211.1375,-27.84375,270,bottom
D19,D_Small,D_SOD-123,230.1875,-27.84375,270,bottom
D20,D_Small,D_SOD-123,249.2375,-27.84375,270,bottom
D21,D_Small,D_SOD-123,268.2875,-27.84375,270,bottom
D22,D_Small,D_SOD-123,287.3375,-27.84375,270,bottom
D23,D_Small,D_SOD-123,306.3875,-27.84375,270,bottom
D24,D_Small,D_SOD-123,325.4375,-27.84375,270,bottom
D25,D_Small,D_SOD-123,344.4875,-27.84375,270,bottom
D26,D_Small,D_SOD-123,363.5375,-27.84375,270,bottom
D27,D_Small,D_SOD-123,382.5875,-27.84375,270,bottom
D28,D_Small,D_SOD-123,403.225,-27.84375,270,bottom
D29,D_Small,D_SOD-123,430.2125,-27.84375,270,bottom
D30,D_Small,D_SOD-123,177.8,-46.89375,270,bottom
D31,D_Small,D_SOD-123,196.85,-46.89375,270,bottom
D32,D_Small,D_SOD-123,215.9,-46.89375,270,bottom
D33,D_Small,D_SOD-123,234.95,-46.89375,270,bottom
D34,D_Small,D_SOD-123,254,-46.89375,270,bottom
D35,D_Small,D_SOD-123,273.05,-46.89375,270,bottom
D36,D_Small,D_SOD-123,292.1,-46.89375,270,bottom
D37,D_Small,D_SOD-123,311.15,-46.89375,270,bottom
D38,D_Small,D_SOD-123,330.2,-46.89375,270,bottom
D39,D_Small,D_SOD-123,349.25,-46.89375,270,bottom
D40,D_Small,D_SOD-123,368.3,-46.89375,270,bottom
D41,D_Small,D_SOD-123,387.35,-46.89375,270,bottom
D42,D_Small,D_SOD-123,430.2125,-46.89375,270,bottom
D43,D_Small,D_SOD-123,172.24375,-65.94375,270,bottom
D44,D_Small,D_SOD-123,206.375,-65.94375,270,bottom
D45,D_Small,D_SOD-123,225.425,-65.94375,270,bottom
D46,D_Small,D_SOD-123,244.475,-65.94375,270,bottom
D47,D_Small,D_SOD-123,263.525,-65.94375,270,bottom
D48,D_Small,D_SOD-123,282.575,-65.94375,270,bottom
D49,D_Small,D_SOD-123,301.625,-65.94375,270,bottom
D50,D_Small,D_SOD-123,320.675,-65.94375,270,bottom
D51,D_Small,D_SOD-123,339.725,-65.94375,270,bottom
D52,D_Small,D_SOD-123,358.775,-65.94375,270,bottom
D53,D_Small,D_SOD-123,377.825,-65.94375,270,bottom
D54,D_Small,D_SOD-123,430.2125,-62.64375,270,bottom
D55,D_Small,D_SOD-123,192.0875,-100.74375,90,bottom
D56,D_Small,D_SOD-123,220.6625,-100.74375,90,bottom
D57,D_Small,D_SOD-123,295.275,-100.74375,90,bottom
D58,D_Small,D_SOD-123,382.5875,-100.74375,90,bottom
D59,D_Small,D_SOD-123,401.6375,-100.74375,90,bottom
D60,D_Small,D_SOD-123,144.4625,-100.74375,90,bottom
D61,D_Small,D_SOD-123,411.1625,-62.70625,270,bottom
D62,D_Small,D_SOD-123,273.05,-100.74375,90,bottom
D63,D_Small,D_SOD-123,321.46875,-100.74375,90,bottom
D64,D_Small,D_SOD-123,239.7125,-100.74375,90,bottom
D65,D_Small,D_SOD-123,354.0125,-100.74375,90,bottom
D66,D_Small,D_SOD-123,187.325,-65.94375,270,bottom
D67,D_Small,D_SOD-123,406.4,-46.89375,270,bottom
D68,D_Small,D_SOD-123,432.7,-24.55,90,bottom
J1,USB,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,211.1,-40.3,0,bottom
R4,10K,C_0402_1005Metric,231.6,-76.365,90,bottom
R5,10K,C_0402_1005Metric,249.342947,-83.957053,225,bottom
SW1,SW_Push,SKQG-1155865,226.2,-78.7,180,bottom
U1,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,242.8875,-84.93125,45,bottom
Y1,Resonator_Small,Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering,237.498528,-78.601472,225,bottom
